951;CARTOLERIA;VIA CARTOLERIA FR 16;BOLOGNA;686878;929160;44,489784;11,349251;500
952;GARGANELLI;VIA RIALTO 4/A;BOLOGNA;686914;929118;44,489397;11,349688;500
953;CESTELLO;VIA CASTIGLIONE 49/A;BOLOGNA;686775;928946;44,487886;11,347879;500
954;RIALTO;VIA RIALTO 46;BOLOGNA;686842;928903;44,487481;11,348706;500
955;ISTITUTO CAVAZZA;VIA CASTIGLIONE 79;BOLOGNA;686805;928728;44,485917;11,348178;500
956;ISTITUTO CAVAZZA;VIA CASTIGLIONE 90;BOLOGNA;686818;928719;44,485833;11,348338;500
1006;ALEMANNI;VIA MAZZINI 140;BOLOGNA;688281;928839;44,486531;11,366764;500
1010;LAURA BASSI;VIA MAZZINI 154;BOLOGNA;688583;928694;44,485148;11,370506;500
1011;LAURA BASSI;VIA MAZZINI 95;BOLOGNA;688494;928729;44,485486;11,369401;500
1012;FERMI;VIA EMILIA LEVANTE 6/5;BOLOGNA;688846;928564;44,48391;11,373763;500
1013;FERMI;VIA MAZZINI 117/D;BOLOGNA;688724;928612;44,484374;11,372248;500
1025;VILLA LAURA;VIA EMILIA LEVANTE FR 158/2;BOLOGNA;689775;928079;44,479304;11,385258;500
1026;VILLA LAURA;VIA EMILIA LEVANTE 164;BOLOGNA;689832;928067;44,479181;11,38597;500
1027;ARNO;VIA DOZZA 1;BOLOGNA;690254;927852;44,477136;11,391193;500
1028;ARNO;VIA EMILIA LEVANTE 194/14;BOLOGNA;690142;927922;44,477795;11,389811;500
1031;EMILIA CALABRIA;VIA EMILIA LEVANTE 137/8;BOLOGNA;689992;927978;44,478338;11,387947;500
1033;VILLAGGIO DUE MADONNE;VIA DOZZA 19/B;BOLOGNA;690576;927687;44,475566;11,395177;500
1034;VILLAGGIO DUE MADONNE;VIA DOZZA FR 19/B;BOLOGNA;690586;927701;44,47569;11,395308;500
1035;PARCO DEI CEDRI;VIA DOZZA 33;BOLOGNA;690852;927550;44,474261;11,398594;500
1036;PARCO DEI CEDRI;VIA DOZZA CIMITERO INGLESE;BOLOGNA;690857;927560;44,47435;11,39866;500
1037;SAN LAZZARO FIUME SAVENA;VIA EMILIA 4;SAN LAZZARO DI SAVENA;691154;927388;44,472724;11,402328;501
1038;SAN LAZZARO FIUME SAVENA;VIA EMILIA 3/L;SAN LAZZARO DI SAVENA;691200;927387;44,472703;11,402905;501
1041;SAN LAZZARO VILLA RODRIGU;VIA EMILIA 38;SAN LAZZARO DI SAVENA;691417;927262;44,471521;11,405585;501
1042;SAN LAZZARO VILLA RODRIGU;VIA EMILIA FR 38;SAN LAZZARO DI SAVENA;691410;927293;44,471802;11,405509;501
1043;SAN LAZZARO MUNICIPIO;VIA EMILIA 98;SAN LAZZARO DI SAVENA;691627;927166;44,470602;11,408188;501
1044;SAN LAZZARO MUNICIPIO;VIA EMILIA 165/B;SAN LAZZARO DI SAVENA;691692;927149;44,470432;11,408998;501
1045;SAN LAZZARO JUSSI;VIA EMILIA 200;SAN LAZZARO DI SAVENA;692014;926976;44,46879;11,412978;501
1046;SAN LAZZARO STADIO;VIA KENNEDY 55;SAN LAZZARO DI SAVENA;691854;926520;44,464731;11,4108;501
1048;SAN LAZZARO KENNEDY (SOPP;VIA KENNEDY 44;SAN LAZZARO DI SAVENA;692038;926836;44,467524;11,413228;501
1049;SAN LAZZARO KENNEDY (SOPP;VIA KENNEDY FR 19;SAN LAZZARO DI SAVENA;692014;926822;44,467405;11,412921;501
1051;SAN LAZZARO STADIO;VIA KENNEDY FR P.L. 19;SAN LAZZARO DI SAVENA;691811;926476;44,464346;11,410243;501
1053;SAN LAZZARO DI VITTORIO;VIA KENNEDY 16;SAN LAZZARO DI SAVENA;691984;926770;44,466945;11,412525;501
1055;SAN LAZZARO WOOLF;VIA WOOLF 4;SAN LAZZARO DI SAVENA;691949;926071;44,460667;11,411827;501
1057;SAN LAZZARO PISCINA KENNE;VIA KENNEDY P.L. 67/65;SAN LAZZARO DI SAVENA;691773;926232;44,462162;11,409676;501
1059;SAN LAZZARO KENNEDY;VIA KENNEDY P.L. 47/45;SAN LAZZARO DI SAVENA;691828;926470;44,464288;11,410455;501
1060;SAN LAZZARO DI VITTORIO;VIA KENNEDY FR 8;SAN LAZZARO DI SAVENA;692070;926893;44,468028;11,413651;501
1126;PIAZZA BELLUNO;PIAZZA BELLUNO FR 26-28;BOLOGNA;689574;927756;44,476451;11,382614;500
1141;ADIGE;VIA PO FR P.L. 21;BOLOGNA;689356;927850;44,477354;11,37991;500
1142;ADIGE;VIA PO FR P.L. 22;BOLOGNA;689330;927859;44,477442;11,379587;500
1143;VENEZIA GIULIA;VIA FRIULI-VENEZIA GIULIA FR 8;BOLOGNA;689501;927955;44,47826;11,38177;500
1144;VENEZIA GIULIA;VIA FRIULI-VENEZIA GIULIA 8;BOLOGNA;689510;927961;44,478312;11,381885;500
1151;FAENZA;VIA ARNO 32;BOLOGNA;689994;927407;44,473201;11,387763;500
1152;CENTRO GALLIA;VIA CAVAZZONI 3;BOLOGNA;689729;926995;44,469565;11,384283;500
1153;ARNO;VIA ARNO FR 5;BOLOGNA;690172;927769;44,476411;11,390132;500
1154;FAENZA;VIA ARNO FR 34;BOLOGNA;689973;927389;44,473045;11,387492;500
1156;ARNO;VIA ARNO 1/N;BOLOGNA;690170;927814;44,476816;11,390123;500
1201;OSPEDALE MALPIGHI;VIA PALAGI FR 8;BOLOGNA;688245;929061;44,488538;11,366393;500
1202;OSPEDALE MALPIGHI;VIA SCHIASSI 6;BOLOGNA;688272;929142;44,489259;11,366762;500
1203;PIZZARDI;VIA PIZZARDI 39/C;BOLOGNA;688415;929204;44,48978;11,368581;500
1204;MENGOLI;VIA SCHIASSI 30/4;BOLOGNA;688534;929044;44,488309;11,370018;500
1205;MENGOLI;VIA PIZZARDI 63;BOLOGNA;688708;929086;44,488642;11,37222;500
1206;AZZURRA;VIA AZZURRA 56;BOLOGNA;688793;928848;44,486478;11,373201;500
1209;AZZURRA;VIA AZZURRA 67;BOLOGNA;688779;928836;44,486374;11,373021;500
1210;FOSSOLO;VIALE FELSINA 27;BOLOGNA;689111;928808;44,486035;11,377182;500
1211;FOSSOLO;VIALE FELSINA P.L. 44;BOLOGNA;689097;928806;44,486021;11,377006;500
1212;FELSINA;VIALE FELSINA 17;BOLOGNA;689419;928576;44,483868;11,380967;500
1213;FELSINA;VIALE FELSINA P.L. 58;BOLOGNA;689410;928567;44,483789;11,380851;500
1214;ALLENDE;VIALE LINCOLN 2;BOLOGNA;689760;928472;44,482843;11,385214;500
1217;ALLENDE;VIALE LINCOLN P.L. 8;BOLOGNA;689820;928457;44,482692;11,385962;500
1218;LINCOLN;VIALE LINCOLN FR P.L. 14;BOLOGNA;690090;928427;44,482351;11,389343;500
1254;AGNESI;VIA MENGOLI 1/2;BOLOGNA;688507;928803;44,486149;11,369591;500
1261;LENIN;VIA LENIN FR 6;BOLOGNA;689594;928288;44,481231;11,383061;500
1262;LENIN;VIA LENIN FR P.L. 10;BOLOGNA;689569;928281;44,481175;11,382744;500
1301;DANTE;VIA DANTE 13;BOLOGNA;687638;928915;44,487383;11,358712;500
1302;DANTE;VIA DANTE 32;BOLOGNA;687715;928946;44,487641;11,359691;500
1303;PIAZZA TRENTO TRIESTE;VIA ALBERTI 1/2;BOLOGNA;687960;928834;44,48657;11,362729;500
1304;PIAZZA TRENTO TRIESTE;VIALE ORIANI 2/G;BOLOGNA;687861;928835;44,486605;11,361485;500
1305;SAVIOLI;VIA ALBERTI 33;BOLOGNA;688062;928776;44,486022;11,36399;500
1306;SAVIOLI;VIA MEZZOFANTI 12;BOLOGNA;687995;928587;44,484339;11,363079;500
1309;MEZZOFANTI;VIA MEZZOFANTI 45;BOLOGNA;688151;928496;44,48348;11,365006;500
1310;MEZZOFANTI;VIA MEZZOFANTI 26;BOLOGNA;688192;928491;44,483424;11,365519;500
1311;ALBINI;VIA MEZZOFANTI 71;BOLOGNA;688393;928377;44,482346;11,368003;500
1312;ALBINI;VIA MEZZOFANTI 36;BOLOGNA;688482;928349;44,482071;11,369111;500
1351;ALEMANNI;VIA MASI P.L. 3;BOLOGNA;688210;928781;44,486028;11,365851;500
1352;ALEMANNI;VIA MASI 4;BOLOGNA;688238;928807;44,486255;11,366212;500
1354;LAURA BASSI;VIA BASSI L. 20;BOLOGNA;688351;928457;44,483077;11,367505;500
1355;ALBERTI LAURA BASSI;VIA LEANDRO ALBERTI 53/55;BOLOGNA;688354;928620;44,484542;11,367602;500
1399;FERMATA SERVIZIO DUE MADO;INTERNO DEPOSITO DUE MADONNE;BOLOGNA;690527;928789;44,485492;11,394967;500
1400;FERMATA SERVIZIO DUE MADO;INTERNO DEPOSITO DUE MADONNE;BOLOGNA;690497;928708;44,484771;11,39456;500
1401;MONDOLFO;VIA DUE MADONNE P.L. 20;BOLOGNA;690413;928339;44,481474;11,393369;500
1402;MONDOLFO;VIA DUE MADONNE FR 9;BOLOGNA;690388;928319;44,481301;11,393048;500
1403;DEPOSITO DUE MADONNE 1;VIA DUE MADONNE P.L. 21221;BOLOGNA;690489;928525;44,483127;11,394393;500
1404;DEPOSITO DUE MADONNE 1;VIA DUE MADONNE FR. P.L. 21221;BOLOGNA;690477;928530;44,483175;11,394244;500
1405;DEPOSITO DUE MADONNE 2;VIA DUE MADONNE P.L. 37;BOLOGNA;690598;928781;44,485401;11,395856;500
1406;DEPOSITO DUE MADONNE 2;VIA DUE MADONNE P.L. 36;BOLOGNA;690570;928756;44,485184;11,395495;500
1410;CANOVA POSTE;VIA ANTONIO CANOVA;BOLOGNA;690988;928836;44,485792;11,400777;500
1489;MORO;VIA A.MORO FR 16;SAN LAZZARO DI SAVENA;692846;926850;44,467435;11,423382;501
1491;TECNICA OVEST;VIA TECNICA OVEST 9;SAN LAZZARO DI SAVENA;693210;927061;44,469235;11,428033;501
