X,Y,codice,denominazi,ubicazione,comune
11.37299,44.521251,99044,PARCO NORD,INTERNO PARCO NORD - LATO MICHELINO,BOLOGNA
11.380247,44.501708,99046,ENEL TERRAPIENO,VIA DEL TERRAPIENO 46,BOLOGNA
11.400336,44.4962,99048,ENEL BARELLI,VIA BARELLI 5,BOLOGNA
11.349254,44.491107,99050,SANTO STEFANO,VIA SANTO STEFANO ANGOLO FARINI,BOLOGNA
11.403343,44.505085,99053,HERA INDUSTRIA,VIA DELL`INDUSTRIA 50MT PRIMA DI VIA ELE,BOLOGNA
11.403246,44.50488,99054,HERA INDUSTRIA,VIA DELL`INDUSTRIA 30MT DOPO VIA ELETTRI,BOLOGNA
11.345737,44.500938,99056,PIAZZA VIII AGOSTO,VIA IRNERIO LATO MONTAGNOLA,BOLOGNA
11.345693,44.500786,99057,PIAZZA VIII AGOSTO,VIA IRNERIO FRONTE MONTAGNOLA,BOLOGNA
11.373367,44.487168,99060,ISTITUTO MATTIUZZI CASALI,VIA AZZURRA 54,BOLOGNA
11.35152,44.492411,99061,PIAZZA ALDROVANDI,PIAZZA ALDROVANDI BIVIO STRADA MAGGIORE,BOLOGNA
11.383219,44.496532,99062,SCUOLE ELEMENTARI SCANDEL,VIA SCANDELLARA 56,BOLOGNA
11.428579,44.521753,99066,HERA FRULLO,VIA FRULLO PARCHEGGIO ESTERNO,GRANAROLO DELL`EMILIA
11.700207,44.349464,99067,IMOLA PIRANDELLO SCUOLE,SCUOLE DI VIA PIRANDELLO,IMOLA
11.428853,44.521685,99069,HERA FRULLO,VIA FRULLO DAVANTI INCENERITORE,GRANAROLO DELL`EMILIA
11.343865,44.504137,99070,PIAZZA XX SETTEMBRE,PIAZZA XX SETTEMBRE,BOLOGNA
11.347816,44.507918,99071,JACOPO DELLA QUERCIA,VIA JACOPO DELLA QUERCIA 1-3,BOLOGNA
11.683977,44.344365,99100,SCUOLA PEDAGNA,VIA PUCCINI CABINA ENEL N. 20TE3028,IMOLA
11.341697,44.50591,100000,BOLOGNA CENTRALE,PIAZZA DELLE MEDAGLIE D`ORO,BOLOGNA
11.284609,44.514938,100001,BORGO PANIGALE,VIA SCIESA,BOLOGNA
11.274847,44.503979,100002,CASTELDEBOLE,VIA GALEAZZA,BOLOGNA
11.711414,44.343274,101001,GALLI SPOGLIATOIO,VIA GALLI SPOGLIATOI STADIO,IMOLA
11.711612,44.343224,101002,GALLI SPOGLIATOIO,VIA GALLI 2,IMOLA
11.729732,44.345753,101003,PISACANE OLIMPIA,VIA PISACANE 69,IMOLA
11.729689,44.345907,101004,PISACANE OLIMPIA,VIA PISACANE 154,IMOLA
11.740541,44.341064,101005,GRATUSA 1B,VIA GRATUSA FR 1F,IMOLA
11.742726,44.330091,101007,GRATUSA 14,VIA GRATUSA FR 14,IMOLA
11.745815,44.325326,101009,GRATUSA BIVIO,VIA GRATUSA 20,IMOLA
11.751779,44.329233,101011,CALUNGA BUORE 6A,VIA CALUNGA BUORE 6A,IMOLA
11.760061,44.334407,101013,CALUNGA BUORE ASILO,VIA CALUNGA BUORE FR ASILO,IMOLA
11.762252,44.336721,101015,ZOPPA 1C,VIA ZOPPA 1C,IMOLA
11.770929,44.3441,101017,ZOPPA 12,VIA ZOPPA FR 12,IMOLA
11.767792,44.346742,101019,ZELLO CHIESA,VIA ZELLO 47,ZELLO
11.740917,44.344548,101021,ZELLO SUPERAL,VIA ZELLO 1D,IMOLA
11.715653,44.347593,101022,GUICCIARDINI SCUOLE MEDIE,VIA GUICCIARDINI C/O SCUOLE MEDIE,IMOLA
11.770847,44.34556,101023,ZELLO CAMPO SPORTIVO,VIA ZELLO FR CABINA HERA,IMOLA
11.671785,44.369509,110000,PIRATELLO CIMITERO,VIA EMILIA PIAZZALE INTERNO CIMITERO,PIRATELLO
11.670594,44.370365,110101,PIRATELLO,VIA EMILIA 26,PIRATELLO
11.670476,44.370548,110102,PIRATELLO,VIA EMILIA 25,PIRATELLO
11.68429,44.364947,110103,IMOLA GALASSI,VIA EMILIA 30 MT. DOPO VIA RONCAGLIE,IMOLA
11.684918,44.36495,110104,IMOLA GALASSI,VIA EMILIA 50 MT. PRIMA BV VIA GALASSI,IMOLA
11.690158,44.362909,110106,FORNACE,VIALE AMENDOLA 169,IMOLA
11.701159,44.358444,110109,AMENDOLA,VIALE AMENDOLA 34,IMOLA
11.707197,44.35605,110113,IMOLA OSPEDALE VECCHIO,VIALE AMENDOLA 6/2,IMOLA
11.710591,44.356716,110116,IMOLA SCUOLE CARDUCCI,VIA CAVOUR 10/A,IMOLA
11.715013,44.354927,110118,APPIA,VIA CAVOUR 66,IMOLA
11.721751,44.350598,110121,PISACANE,VIA PISACANE FR 60/62,IMOLA
11.722646,44.350145,110122,PISACANE,VIA PISACANE 76,IMOLA
11.718246,44.357551,110128,GALVANI,VIALE GALVANI 7,IMOLA
11.718438,44.357637,110129,IMOLA GALVANI,VIALE GALVANI 12,IMOLA
11.7227,44.355635,110130,RESISTENZA,VIA DELLA RESISTENZA FR 10,IMOLA
11.722735,44.35585,110131,RESISTENZA,VIA DELLA RESISTENZA 6/A,IMOLA
11.712254,44.354147,111102,IMOLA VIA EMILIA,VIA EMILIA 81,IMOLA
11.71063,44.353763,111106,IMOLA PIAZZA DUOMO,P.ZZA DUOMO FR 2,IMOLA
11.714532,44.35619,112102,IMOLA SAVONAROLA,P.ZZA SAVONAROLA FR 20,IMOLA
11.707855,44.357529,114101,IMOLA CENTRO COMMERCIALE,VIALE CARDUCCI 38,IMOLA
11.714042,44.356454,114105,IMOLA PALESTRA,VIALE CARDUCCI FR 11,IMOLA
11.713252,44.357004,114106,IMOLA PALESTRA,VIALE CARDUCCI 19,IMOLA
11.723699,44.3493,115101,IMOLA TURISMO,VIA PISACANE 47,IMOLA
11.727507,44.345653,115105,IMOLA COLLI,VIA DEI COLLI 7,IMOLA
11.727596,44.345678,115106,IMOLA COLLI,VIA DEI COLLI FR 7,IMOLA
11.726662,44.344224,115109,IMOLA COLLI,VIA DEI COLLI 33,IMOLA
11.720202,44.340975,115112,ISTITUTO AGRARIO,VIA ASCARI 9,IMOLA
11.720274,44.341172,115113,ISTITUTO AGRARIO,VIA ASCARI FR CHIESA,IMOLA
11.719657,44.337603,115114,ISTITUTO AGRARIO SCARABEL,VIA ASCARI 15,IMOLA
11.725918,44.345493,117101,RIVAZZA,VIA SANTERNO 9,IMOLA
11.725667,44.345481,117102,RIVAZZA,VIA SANTERNO FR 9,IMOLA
11.711777,44.338368,117105,SCUOLA PELLONI TABANELLI,VIA NUVOLARI 1,IMOLA
11.71747,44.357318,120101,IMOLA AUTOSTAZIONE,VIA COSTA 45,IMOLA
11.7171,44.357452,120102,IMOLA AUTOSTAZIONE,VIA COSTA 62,IMOLA
11.714328,44.353674,120106,PIAZZA CADUTI PER LA LIBE,PIAZZA CADUTI PER LA LIBERTA` 4,IMOLA
11.716363,44.354265,121106,CAVOUR,VIA CAVOUR 63/B,IMOLA
11.719638,44.352917,121110,CONFESERCENTI,VIA CAVOUR FR 122,IMOLA
11.71688,44.357863,122102,IMOLA AUTOSTAZIONE,TERMINAL IMOLA,IMOLA
11.708509,44.361636,122104,IMOLA MARCONI,V.LE MARCONI 73,IMOLA
11.708587,44.361427,122105,IMOLA MARCONI,VIA MARCONI FR 73,IMOLA
11.716117,44.364696,122107,STAB. BALLANTI,VIA 1` MAGGIO FR 52,IMOLA
11.715933,44.36479,122108,STAB. BALLANTI,VIA 1` MAGGIO 52,IMOLA
11.720234,44.369864,122109,IMOLA PASQUALA,VIA 1` MAGGIO BV BENTIVOGLIO,IMOLA
11.720136,44.369912,122110,IMOLA PASQUALA,VIA 1` MAGGIO FR BV BENTIVOGLIO,IMOLA
11.713233,44.359588,122112,IMOLA VITTORIO VENETO,VIA MARCONI 14,IMOLA
11.722209,44.372401,122113,IMOLA PRIMO MAGGIO GRIECO,VIA 1` MAGGIO BV GRIECO,IMOLA
11.722191,44.372554,122114,IMOLA PRIMO MAGGIO GRIECO,VIA 1` MAGGIO FR BV GRIECO,IMOLA
11.713229,44.359759,122115,IMOLA VITTORIO VENETO,V.LE MARCONI FR 14,IMOLA
11.726677,44.378596,122117,GAMBELLARA LASIE,VIA GAMBELLARA ANG LASIE,IMOLA
11.721725,44.373601,122119,IMOLA NICOLI,VIA NICOLI 3,IMOLA
11.733865,44.38739,122121,GAMBELLARA AUTOSTRADA,VIA GAMBELLARA PONTE AUTOSTRADA,IMOLA
11.725748,44.376979,122123,IMOLA I MAGGIO LASIE,VIA I MAGGIO FR 50,IMOLA
11.735273,44.388508,122125,BICOCCA GAMBELLARA,VIA BICOCCA 15,IMOLA
11.72888,44.37631,122127,IMOLA LASIE TOGLIATTI,VIA LASIE BV. TOGLIATTI,IMOLA
11.740916,44.38623,122129,BICOCCA COLOMBAROTTO,VIA BICOCCA ANG COLOMBAROTTO,IMOLA
11.74218,44.385335,122134,ZONA INDUSTRIALE BICOCCA,VIA SELICE MONTANARA 54/B,IMOLA
11.74192,44.385135,122135,ZONA INDUSTRIALE BICOCCA,VIA SELICE MONTANARA FR 54/B,IMOLA
11.737842,44.379804,122137,MOLINO ROSSO,VIA SELICE MONTANARA BV MOLINO ROSSO,IMOLA
11.73806,44.379898,122138,MOLINO ROSSO,VIA SELICE MONTANARA FR 49,IMOLA
11.735642,44.37784,122140,IMOLA COGNETEX,INTERNO STABILIMENTO COGNETEX,IMOLA
11.736142,44.37754,122141,SELICE AUTOSTRADA,VIA SELICE 47,IMOLA
11.734959,44.37584,122142,SELICE AUTOSTRADA,VIA SELICE 45,IMOLA
11.732939,44.37344,122145,IMOLA SELICE LASIE,VIA SELICE FR 43/A,IMOLA
11.733557,44.374037,122146,IMOLA SELICE LASIE,VIA SELICE 43,IMOLA
11.730535,44.370338,122149,MAGLIO,VIA SELICE FR 26,IMOLA
11.730834,44.370547,122150,MAGLIO,VIA SELICE 27,IMOLA
11.725861,44.364265,122153,BORGO SPUVIGLIA,VIA SELICE FR 14,IMOLA
11.726519,44.364933,122154,BORGO SPUVIGLIA,VIA SELICE 14,IMOLA
11.722785,44.360188,122157,POIANO,VIA SELICE 94,IMOLA
11.722799,44.359945,122158,POIANO,VIA SELICE 189,IMOLA
11.722883,44.379083,122301,LASIE PASQUALA,VIA LASIE 12/A,IMOLA
11.723064,44.378916,122302,LASIE PASQUALA,VIA LASIE FR 12/A,IMOLA
11.71235,44.383124,122305,FONDO MUSCONI,VIA LASIE FR 18,IMOLA
11.712322,44.383053,122306,FONDO MUSCONI,VIA LASIE 18,IMOLA
11.725145,44.354235,123101,MOLINO VECCHIO,VIA MOLINO VECCHIO 10/A,IMOLA
11.724918,44.353952,123102,MOLINO VECCHIO,VIA MOLINO VECCHIO FR 8/A,IMOLA
11.716144,44.363912,124101,IMOLA LAVORO,VIA DEL LAVORO FR 45,IMOLA
11.716222,44.363973,124102,IMOLA LAVORO,VIA DEL LAVORO 43,IMOLA
11.714726,44.364459,124103,IMOLA DI VITTORIO I,VIA DI VITTORIO PL 3858,IMOLA
11.71509,44.364459,124104,IMOLA DI VITTORIO I,VIA DI VITTORIO 13,IMOLA
11.71996,44.362318,124105,IMOLA SERRAGLIO,VIA DEL LAVORO 2,IMOLA
11.719806,44.362519,124106,IMOLA SERRAGLIO,VIA DEL LAVORO 19,IMOLA
11.698838,44.367196,124113,IMOLA PONTESANTO,VIA PAMBERA FR 118,IMOLA
11.689093,44.368165,124122,IMOLA FRANCHINI,VIA FRANCHINI PL 5263,IMOLA
11.709645,44.382189,124125,CORRECCHIO,VIA CORRECCHIO 32,IMOLA
11.724152,44.372075,124202,IMOLA GRIECO POSTE,VIA GRIECO 2/C,IMOLA
11.7051,44.367722,124203,IMOLA DI VITTORIO II,VIA DI VITTORIO FR PL 3837,IMOLA
11.704931,44.367609,124204,IMOLA DI VITTORIO II,VIA DI VITTORIO 108,IMOLA
11.701637,44.36857,124205,MAZZANTI,VIA MAZZANTI 2,IMOLA
11.701749,44.36854,124206,MAZZANTI,VIA MAZZANTI PL 3832,IMOLA
11.704129,44.371725,124207,CASALEGNO,VIA CASALEGNO 1,IMOLA
11.728712,44.371885,124208,BRODOLINI,VIA BRODOLINI FR 15,IMOLA
11.715331,44.367236,124209,COOPERAZIONE,VIA COOPERAZIONE FR 20,IMOLA
11.707622,44.357912,124501,IMOLA ANDREINI,VIA ANDREINI 9,IMOLA
11.707894,44.360553,124505,IMOLA CASONI,VIA PAMBERA 15/C,IMOLA
11.707566,44.361056,124506,IMOLA CASONI,VIA PAMBERA FR 19/A,IMOLA
11.705852,44.3579,124508,ANDREINI,VIA CASONI 32,IMOLA
11.706341,44.363335,124509,MILANA,VIA PAMBERA 41 A,IMOLA
11.706141,44.363349,124510,MILANA,VIA PAMBERA 22/D,IMOLA
11.703543,44.364977,124511,IMOLA PAMBERA,VIA PAMBERA 107,IMOLA
11.703621,44.364769,124512,IMOLA PAMBERA,VIA PAMBERA FR 95,IMOLA
11.699235,44.366817,124514,IMOLA PONTESANTO,VIA BECCARIA 4,IMOLA
11.696507,44.365342,124515,ZANOTTI BECCARIA,VIA ZANOTTI 20,IMOLA
11.696569,44.365341,124516,ZANOTTI BECCARIA,VIA ZANOTTI FR 20,IMOLA
11.693301,44.366058,124517,IMOLA TINTI SCUOLE,VIA TINTI FR SCUOLE,IMOLA
11.692962,44.366048,124518,IMOLA TINTI SCUOLE,VIA TINTI FR CAMPO SPORTIVO,IMOLA
11.689148,44.368803,124521,IMOLA FRANCHINI,VIA TINTI FR BV FRANCHINI,IMOLA
11.687038,44.36878,124525,DAL MONTE,VIA DAL MONTE FR 9,IMOLA
11.688895,44.365207,124527,ZOLINO,VIA GUALANDI 10,IMOLA
11.689055,44.365132,124528,ZOLINO,VIA GUALANDI FR 10,IMOLA
11.688059,44.365848,124529,ZOLINO,VIA VILLA 36,IMOLA
11.690294,44.366435,124530,ZOLINO GUALANDI,VIA FRATELLI GUALANDI PL 5255,IMOLA
11.690097,44.36652,124531,ZOLINO GUALANDI,VIA FRATELLI GUALANDI 52/54/56/58,IMOLA
11.734823,44.374016,125101,IMOLA SELICE LASIE,VIA LASIE FR METANO,IMOLA
11.738096,44.372875,125102,CHIUSURA I,VIA LASIE 9,IMOLA
11.739102,44.372374,125103,CHIUSURA I,VIA LASIE FR 7/B,IMOLA
11.745984,44.369768,125105,CHIUSURA II,VIA LASIE 5,IMOLA
11.746011,44.369812,125106,CHIUSURA II,VIA LASIE FR 4/A,IMOLA
11.749823,44.368937,125109,LASIE LUGHESE,VIA LUGHESE 17/B,IMOLA
11.749214,44.368511,125110,LASIE LUGHESE,VIA LASIE 1,IMOLA
11.753352,44.373785,125113,IMOLA LUGHESE CHIESA,VIA LUGHESE BV CHIESA,IMOLA
11.757527,44.379302,125117,IMOLA LUGHESE BICOCCA,VIA LUGHESE 25,IMOLA
11.765741,44.376474,125121,IMOLA LUGHESE MURA,VIA LUGHESE BV MURA,IMOLA
11.774026,44.373022,125125,IMOLA LUGHESE CONDOTTO,VIA LUGHESE BV CONDOTTO,IMOLA
11.780495,44.369686,125129,SAN PROSPERO S.PROSPERO L,VIA S.PROSPERO 141,IMOLA
11.77568,44.362881,125133,SAN PROSPERO,VIA S.PROSPERO 102,SAN PROSPERO
11.772957,44.362362,125137,SAN PROSPERO SCUOLE,VIA S.PROSPERO 34/A,IMOLA
11.767061,44.361326,125141,SAN PROSPERO CELLETTINA,VIA S.PROSPERO 28,IMOLA
11.76201,44.359054,125145,SAN PROSPERO CONDOTTO,VIA S.PROSPERO FR 22,IMOLA
11.755376,44.359683,125149,SAN PROSPERO MURA,VIA S.PROSPERO FR 1,IMOLA
