codice_linea;codice_fermata;denominazione;ubicazione;comune;coordinata_x;coordinata_y;latitudine;longitudine;codice_zona
101;10065;ERCOLANA;VIA EMILIA PONENTE 2765;CASTEL SAN PIETRO TERME;703646;921260;44,414191;11,556833;513
101;10085;RIO ROSSO;VIA EMILIA LEVANTE FR 2273;CASTEL SAN PIETRO TERME;708888;918652;44,38924;11,621559;513
101;10088;TOSCANELLA PIAZZA DELLA L;PIAZZA DELLA LOGGIA;TOSCANELLA;710030;917703;44,380375;11,635499;514
101;10094;SABBIOSO;VIA EMILIA 19;TOSCANELLA;710482;917869;44,381736;11,641234;514
101;10101;DOZZA BIVIO;VIA EMILIA 195;DOZZA;711794;917216;44,375481;11,657421;514
101;11810;SCANIA ALBERTAZZI;VIA SCANIA 175;CASTEL SAN PIETRO TERME;706022;919608;44,39866;11,585991;513
101;11813;SCANIA TORRICELLI;VIA SCANIA FR 571;CASTEL SAN PIETRO TERME;705697;919769;44,400201;11,581978;513
101;11833;SCANIA TOGLIATTI;VIA SCANIA 61;CASTEL SAN PIETRO TERME;705305;919933;44,401787;11,577125;513
101;110102;PIRATELLO;VIA EMILIA 25;PIRATELLO;712852;916702;44,370548;11,670476;510
101;110105;FORNACE;VIALE AMENDOLA 68;IMOLA;714533;915843;44,362326;11,691198;510
101;114106;IMOLA PALESTRA;VIALE CARDUCCI 19;IMOLA;716310;915310;44,357004;11,713252;510
101;130103;IMOLA SILVIO ALVISI;VIALE D`AGOSTINO 91;IMOLA;715471;914900;44,353567;11,702566;510
101;131141;PARCO TITO;VIA VILLA CLELIA FR 17;IMOLA;715438;914986;44,35435;11,702188;510
101;132105;BIANCONCINI;V.LE SAFFI FR 43;IMOLA;716013;914808;44,352578;11,709321;510
101;150105;IMOLA IST. ALBERGHETTI;V.LE DANTE 1;IMOLA;716295;914612;44,350732;11,712774;510
/;305;PORTA SAN DONATO;VIA IRNERIO 57;BOLOGNA;687319;930131;44,498404;11,355144;500
/;3309;CALZONI;VIA STALINGRADO 47;BOLOGNA;687584;931971;44,514886;11,359143;500
/;3550;CAAB;VIA G.FANIN FR PL 52;BOLOGNA;691574;931834;44,512603;11,409251;500
1;110105;FORNACE;VIALE AMENDOLA 68;IMOLA;714533;915843;44,362326;11,691198;510
1;110118;APPIA;VIA CAVOUR 66;IMOLA;716458;915084;44,354927;11,715013;510
1;120102;IMOLA AUTOSTAZIONE;VIA COSTA 62;IMOLA;716615;915370;44,357452;11,7171;510
1;122112;IMOLA VITTORIO VENETO;VIA MARCONI 14;IMOLA;716299;915597;44,359588;11,713233;510
1;124509;MILANA;VIA PAMBERA 41 A;IMOLA;715736;915995;44,363335;11,706341;510
1;124516;ZANOTTI BECCARIA;VIA ZANOTTI FR 20;IMOLA;714950;916192;44,365341;11,696569;510
1;131130;IMOLA OSPEDALE NUOVO;VIA MONTERICCO 4;IMOLA;714421;915284;44,357332;11,689564;510
1;151106;IMOLA PIAZZALE MICHELANGE;VIA LEOPARDI 93;IMOLA;716582;914394;44,348685;11,71628;510
1;152106;PORTA DEI SERVI;V.LE ZAPPI 10;IMOLA;716876;914677;44,351142;11,720083;510
1;600021;SAN ROCCO FARMACIA;RPA DI SAN ROCCO 10;FERRARA;708289;968702;44,839515;11,634331;600
1;600159;CAVOUR BARRIERA;VIA CAVOUR 149;FERRARA;706319;969015;44,842904;11,609558;600
1;600162;CAVOUR P. BERETTA;VLE CAVOUR 102;FERRARA;706850;968693;44,839854;11,616139;600
1;600165;CAVOUR GIARDINI;VLE CAVOUR F 22;FERRARA;707034;968578;44,838766;11,618418;600
1;600204;GIOVECCA MONTEBELLO;CSO DELLA GIOVECCA 112;FERRARA;707540;968268;44,835831;11,624687;600
